utm_campaign,utm_content,n_creatives,example_landing_url,sessions,conversions,conversion_rate
asc-facebook-ihbc-essential,ao,193,https://www.philo.com/go/barrescue?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-ihbc-essential&utm_term=philo-10329&utm_content=ao&utm_content_id=barrescues10trailer,,,
,,182,http://instagram.com/philotv,,,
asc-facebook-ihbc-essential,show,97,https://www.philo.com/go/7littlejohnstons?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-ihbc-essential&utm_term=philo-10329&utm_content=show&utm_content_id=7littlejohnstonss11trailer,,,
winback-facebook-retargeting,show,55,https://www.philo.com/go/7littlejohnstons?utm_source=facebook&utm_medium=video&utm_campaign=winback-facebook-retargeting&utm_term=philo-10345&utm_content=show&utm_content_id=7littlejohnstonss11trailer,,,
winback-facebook-retargeting,ao,46,https://www.philo.com/go/hbomax?utm_source=facebook&utm_medium=static&utm_campaign=winback-facebook-retargeting&utm_term=philo-10345&utm_content=ao&utm_content_id=4boxvaluebundleplusstatic,,,
asc-facebook-audienceseg,show,37,https://www.philo.com/go/allblk?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-audienceseg&utm_term=philo-10335&utm_content=show&utm_content_id=debisbosstrailer,,,
asc-facebook-audienceseg,ao,20,https://www.philo.com/go/blackvoices?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-audienceseg&utm_term=philo-10335&utm_content=ao&utm_content_id=bciswitchedtophilobettceceliah2v2,,,
asc-facebook-ihbc-essential-catalogtest,show,12,https://www.philo.com/go/90dayfiance?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-ihbc-essential-catalogtest&utm_term=philo-10587&utm_content=show&utm_content_id=90dayfiances12trailer,,,
retargeting-facebook-90daysite,ao,10,https://www.philo.com/go/hbomax?utm_source=facebook&utm_medium=static&utm_campaign=retargeting-facebook-90daysite&utm_term=philo-10351&utm_content=ao&utm_content_id=4boxvaluebundleplusstatic,,,
retargeting-facebook-90daysite,show,9,https://www.philo.com/go/allblk?utm_source=facebook&utm_medium=video&utm_campaign=retargeting-facebook-90daysite&utm_term=philo-10351&utm_content=show&utm_content_id=debisbosstrailer,,,
asc-facebook-ihbc-essential,unexpectedtrailer,3,https://www.philo.com/go/unexpected?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-ihbc-essential&utm_term=philo-10329&utm_content=unexpectedtrailer&utm_content_id=unexpectedtrailer,,,
asc-facebook-ihbc-essential-catalogtest,unexpectedtrailer,3,https://www.philo.com/go/unexpected?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-ihbc-essential-catalogtest&utm_term=philo-10588&utm_content=unexpectedtrailer&utm_content_id=unexpectedtrailer,,,
asc-facebook-ihbc-essential-dr,ao,3,https://www.philo.com/go/welcome?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-ihbc-essential-dr&utm_term=philo-10612&utm_content=ao&utm_content_id=prestigedramaessentialv1,,,
asc-facebook-ihbc-essential-dr,show,2,https://www.philo.com/go/duttonranch?utm_source=facebook&utm_medium=video&utm_campaign=asc-facebook-ihbc-essential-dr&utm_term=philo-10612&utm_content=show&utm_content_id=duttonranchtrailer,,,
